example_id,conversation_id,customer_message,historical_reply,proposed_intent,proposed_decision,final_intent,final_decision,human_verified,reviewer_notes
gold_001,7d71910d0112f2bb0ec432c834178e47,the iOS update makes some of apps a bit slower! Fix the bugs please!,We're happy to help with any complications you're facing. Which Apps have slowed down? Let us know via DM. We'll go from there. https://t.co/GDrqU22YpT,Software_Bug_OS_Update,AUTO_HANDLE,Software_Bug_OS_Update,AUTO_HANDLE,True,
gold_002,dc4c9b6b7ada8158c1f23987351fa48d,ios11 was forced onto my iphone 6 - first time this has ever happened. It's broken my apps &amp; phone call abilities! WTF!?,"Let's work together in DM, we'll be happy to go over update options, and help get things working like they should be for you. https://t.co/GDrqU22YpT",Software_Bug_OS_Update,AUTO_HANDLE,Software_Bug_OS_Update,AUTO_HANDLE,True,
gold_003,b3180d0843d005f529b1af524418d3d7,I think that iOS 11 is definitely the worst update you ever made from 7 years. #crash #lag #reboot,We'd like to help. DM us and let us know the type of device you're using and some details of the situation to get started. https://t.co/GDrqU22YpT,Software_Bug_OS_Update,AUTO_HANDLE,Software_Bug_OS_Update,AUTO_HANDLE,True,
gold_004,c8d25d82c8807a5ab95430533084e38e,GREAT job on the update. My mom LOST ALL her photos. #androidftw,We know how important those memories are. Are you with your Mom and her iPhone? Let's work on this together. https://t.co/GDrqU22YpT,Software_Bug_OS_Update,AUTO_HANDLE,Software_Bug_OS_Update,AUTO_HANDLE,True,
gold_005,ea3420bf75c516827f72f1cdf6f23559,People. Don't download the latest @AppleSupport iOS update. Since updating 3 days ago my iPhone 7 Plus has frozen and crashed a number of times,We want to look into this with you. That's not the experience we want you to have. Which iOS 11 version are you using?,Software_Bug_OS_Update,AUTO_HANDLE,Software_Bug_OS_Update,AUTO_HANDLE,True,
gold_006,8baf9e3a4073721954be59f5bfa52075,You need to fix iOS10.3.3 because the iMessages apps animations do not work.,"Hi there! Which animations are you referring to, exactly? https://t.co/GDrqU22YpT",Software_Bug_OS_Update,AUTO_HANDLE,Software_Bug_OS_Update,AUTO_HANDLE,True,
gold_007,92175fbee5c62bc0351c228158cd629f,@115858 Able to access personal hotspot even when hotspot is switched off in my iphone #apple #ios11 #iosbug https://t.co/aSHUfvkdSj,We want to help you with your Personal Hotspot. Please send us a DM so we can assist. https://t.co/GDrqU22YpT,Software_Bug_OS_Update,AUTO_HANDLE,Software_Bug_OS_Update,AUTO_HANDLE,True,
gold_008,c99fea922a9ce5a0ec4f5b0d2623af12,a maça esqueceu das correcões dos bugs do ios 11.1? / Has apple forgotten about fixes for iOS 11.1 bugs? (Beta program),iOS beta comes with a built-in Feedback Assistant https://t.co/ywR3XOGLRe the second page of the Home screen on your device.,Software_Bug_OS_Update,AUTO_HANDLE,Software_Bug_OS_Update,AUTO_HANDLE,True,
gold_009,e3ce94d9ef6636ef25ba69546767f8e9,"@AppleSupport we have to talk about ios 11, I want my batery back again!","We understand how important it is to have a reliable iPhone that stays powered on like you expect it to. DM us, and we'll check. https://t.co/GDrqU22YpT",Software_Bug_OS_Update,AUTO_HANDLE,Device_Performance_Battery,AUTO_HANDLE,True,
gold_010,c375f553b2b381c78794850c81404951,😡😠😤 been up for an hour &amp; have already had to reset my phone 4 times. Get it together w your updates @115858,We'd like to look into this with you. Which iPhone are you using?,Software_Bug_OS_Update,AUTO_HANDLE,Software_Bug_OS_Update,AUTO_HANDLE,True,
